---,Defense,Damage,Support,CritRate,CritDamage,Speed,Penetration,HasCust,CustomSlimeSkinName,ItemClass,ItemType
Blackmage,0.000000,50.000000,0.000000,20.000000,50.000000,30.000000,0.000000,False,"",A,Attack
Whitemage,0.000000,0.000000,100.000000,0.000000,0.000000,50.000000,0.000000,False,"",A,Healer
Prisoner,0.000000,50.000000,0.000000,5.000000,15.000000,30.000000,0.000000,False,"",B,Attack
Toughguy,70.000000,40.000000,0.000000,20.000000,20.000000,0.000000,0.000000,False,"",A,Tank
Devil,0.000000,125.000000,0.000000,25.000000,25.000000,25.000000,0.000000,True,Devil,S,Attack
Windborne,0.000000,70.000000,0.000000,15.000000,15.000000,100.000000,0.000000,True,Air,S,Attack
Smore,0.000000,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,True,Marshmallow,S,Healer
Elf,0.000000,0.000000,50.000000,0.000000,0.000000,50.000000,0.000000,False,"",B,Healer
Slimewick,25.000000,75.000000,0.000000,25.000000,50.000000,25.000000,0.000000,False,"",S,Attack
Pirate,0.000000,50.000000,0.000000,20.000000,50.000000,0.000000,80.000000,False,"",S,Attack
Astro,25.000000,100.000000,0.000000,25.000000,25.000000,25.000000,0.000000,True,Blackhole,S,Attack
SamuraiRabbit,50.000000,75.000000,0.000000,25.000000,50.000000,0.000000,0.000000,False,"",S,Attack
Elvis,0.000000,0.000000,125.000000,0.000000,0.000000,75.000000,0.000000,False,"",S,Healer
Shinobi,0.000000,0.000000,0.000000,25.000000,75.000000,50.000000,50.000000,False,"",S,Attack
NaughtNaut,25.000000,100.000000,0.000000,25.000000,25.000000,25.000000,0.000000,False,"",S,Attack
Slimephiroth,0.000000,100.000000,0.000000,20.000000,50.000000,0.000000,30.000000,False,"",S,Attack
MasterGoo,100.000000,50.000000,0.000000,25.000000,25.000000,0.000000,0.000000,False,"",S,Tank
SlimorMoon,0.000000,0.000000,150.000000,0.000000,0.000000,50.000000,0.000000,False,"",S,Healer
Slorat,0.000000,75.000000,0.000000,0.000000,100.000000,25.000000,0.000000,False,"",S,Attack
Snoman,0.000000,0.000000,120.000000,0.000000,0.000000,80.000000,0.000000,False,"",S,Healer
SlimeKing,100.000000,75.000000,0.000000,25.000000,50.000000,-50.000000,0.000000,False,"",S,Tank
SlimeAid,0.000000,0.000000,130.000000,0.000000,0.000000,70.000000,0.000000,False,"",S,Healer
Sleal,150.000000,25.000000,0.000000,25.000000,25.000000,-25.000000,0.000000,False,"",S,Tank
HighRoller,100.000000,80.000000,0.000000,10.000000,20.000000,-10.000000,0.000000,False,"",S,Tank
PattySlime,0.000000,0.000000,50.000000,0.000000,0.000000,50.000000,0.000000,False,"",B,Healer
BlobRoss,0.000000,0.000000,210.000000,0.000000,0.000000,-10.000000,0.000000,False,"",S,Healer
naked,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,"","",Healer
Sloda,0.000000,50.000000,0.000000,25.000000,25.000000,50.000000,50.000000,False,"",S,Attack
Tengoo,0.000000,100.000000,0.000000,50.000000,50.000000,0.000000,0.000000,False,"",S,Attack
SlackSparrow,0.000000,50.000000,0.000000,25.000000,75.000000,25.000000,25.000000,False,"",S,Attack
Toastie,50.000000,0.000000,200.000000,0.000000,0.000000,-50.000000,0.000000,True,Cheese,S,Healer
Gooku,0.000000,25.000000,0.000000,0.000000,150.000000,25.000000,0.000000,False,"",S,Attack
Calavera,0.000000,150.000000,0.000000,25.000000,25.000000,0.000000,0.000000,False,"",S,Attack
Goonch,50.000000,0.000000,0.000000,25.000000,100.000000,0.000000,0.000000,False,"",S,Attack
Slaug,75.000000,0.000000,0.000000,50.000000,75.000000,0.000000,0.000000,False,"",S,Tank
MonkeyDGoof,0.000000,25.000000,0.000000,50.000000,25.000000,100.000000,0.000000,False,"",S,Attack
Angoolica,125.000000,25.000000,0.000000,25.000000,25.000000,0.000000,0.000000,False,"",S,Tank
Gooster,0.000000,20.000000,0.000000,0.000000,0.000000,180.000000,0.000000,False,"",S,Attack
Neko,0.000000,0.000000,0.000000,25.000000,50.000000,25.000000,100.000000,False,"",S,Attack
